[00:00:02,996] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:00,000] WARN  {Croupier} Trying to add myself to self: 468
[00:00:00,000] WARN  {Croupier} Trying to add myself to self: 1197
[00:00:00,000] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,007] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,019] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,020] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,020] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,029] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,031] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,040] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,064] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,074] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,086] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,087] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,097] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,102] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,107] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,127] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,127] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,129] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,142] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,153] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,155] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,156] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,166] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,185] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,186] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,192] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,209] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,232] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,235] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,235] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,235] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,238] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,255] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,263] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,264] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,265] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,275] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,276] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,283] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,288] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,289] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,292] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,295] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,298] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,302] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,310] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,314] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,318] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,325] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,326] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,352] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,362] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,383] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,383] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,408] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,426] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,448] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,473] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,486] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,492] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,509] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,553] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,555] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,555] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,584] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,589] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,590] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,592] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,592] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,597] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,630] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,630] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,636] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,638] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,655] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,672] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,679] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,684] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,697] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,699] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,708] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
